Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-12T14:35:00Z,257.49,258.24,256.73,256.77,1107045,955926.8,NaN,NaN,NaN,NaN
2020-03-12T14:40:00Z,256.75,257.86,255.76,256.6,751536,964850.45,NaN,NaN,NaN,NaN
2020-03-12T14:45:00Z,256.59,257.6,256.42,257,671154,956996.4,NaN,NaN,NaN,NaN
2020-03-12T14:50:00Z,257.01,258.79,256.68,258.61,786805,943115.3,NaN,NaN,NaN,NaN
2020-03-12T14:55:00Z,258.55,258.57,257.55,257.76,663325,918889.05,NaN,NaN,NaN,NaN
2020-03-12T15:00:00Z,257.79,257.8,255.63,256.27,702404,907041.85,NaN,NaN,NaN,NaN
2020-03-12T15:05:00Z,256.28,256.39,254.96,255.07,651764,886057.8,NaN,NaN,NaN,NaN
2020-03-12T15:10:00Z,255.06,255.18,253.98,254.02,555998,823652.25,NaN,NaN,NaN,NaN
2020-03-12T15:15:00Z,253.99,255.25,253.05,253.87,829149,792319.35,NaN,NaN,NaN,NaN
2020-03-12T15:20:00Z,253.88,254.56,253.3,254.47,460484,781710.4,NaN,NaN,NaN,NaN
2020-03-12T15:25:00Z,254.5,254.97,253.91,254.24,513518,802819.3,NaN,NaN,NaN,NaN
2020-03-12T15:30:00Z,254.22,255.43,253.43,253.73,692085,799409.05,NaN,NaN,NaN,NaN
2020-03-12T15:35:00Z,253.74,254.54,252.83,253.12,512999,772664.85,NaN,NaN,NaN,NaN
2020-03-12T15:40:00Z,253.14,253.45,252.55,253.31,441377,743719.7,NaN,NaN,NaN,NaN
2020-03-12T15:45:00Z,253.32,253.35,252.29,252.42,439524,713977.1,NaN,NaN,NaN,NaN
2020-03-12T15:50:00Z,252.38,252.44,251.14,252.11,642079,692025.8,NaN,NaN,NaN,NaN
2020-03-12T15:55:00Z,252.14,253.49,252.11,252.8,616541,684078.4,NaN,NaN,NaN,NaN
